page,subject,pathway,tier,quiz_count,fifa_count,has_common_mistake,has_matching,has_equations,has_rp,has_examiner_tip,lineup
biology/cell-biology/eukaryotes-prokaryotes,biology,combined,foundation,5,2,True,True,True,False,False,1111000111
biology/cell-biology/animal-plant-cells,biology,combined,foundation,5,0,True,True,False,True,False,0011001101
biology/cell-biology/cell-specialisation,biology,combined,foundation,4,0,True,True,False,False,False,0011000101
biology/cell-biology/microscopy,biology,combined,foundation,5,3,True,True,True,True,False,1111001111
biology/cell-biology/chromosomes-mitosis,biology,combined,foundation,5,0,True,True,False,False,False,0011000101
biology/cell-biology/stem-cells,biology,combined,foundation,4,0,True,True,False,False,False,0011000101
biology/cell-biology/transport-in-cells,biology,combined,foundation,5,1,True,True,False,True,False,0011001111
biology/organisation/principles-of-organisation,biology,combined,foundation,4,0,True,True,False,False,False,0011000101
biology/organisation/digestive-system,biology,combined,foundation,5,0,True,True,False,True,False,0011001101
biology/organisation/enzymes,biology,combined,foundation,5,0,True,True,False,True,False,0011001101
biology/organisation/heart-blood-vessels,biology,combined,foundation,4,0,True,True,False,False,False,0011000101
biology/organisation/blood,biology,combined,foundation,4,0,True,True,False,False,False,0011000101
biology/organisation/coronary-heart-disease,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/organisation/health-disease,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/organisation/cancer,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/organisation/plant-tissues,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/organisation/transpiration,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/organisation/translocation,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/infection-response/communicable-diseases-defence,biology,combined,foundation,4,0,True,True,False,False,False,0011000101
biology/infection-response/viral-diseases,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/infection-response/bacterial-diseases,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/infection-response/fungal-protist-diseases,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/infection-response/vaccination,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/infection-response/antibiotics-painkillers,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/infection-response/drug-discovery-development,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/photosynthesis,biology,combined,foundation,4,0,True,True,True,True,False,0111001101
biology/bioenergetics/rate-of-photosynthesis,biology,combined,foundation,3,0,True,True,False,True,False,0011001101
biology/bioenergetics/uses-of-glucose,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/aerobic-respiration,biology,combined,foundation,3,0,True,True,True,False,False,0111000101
biology/bioenergetics/anaerobic-respiration,biology,combined,foundation,4,0,True,True,True,False,False,0111000101
biology/bioenergetics/response-to-exercise,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/metabolism,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/homeostasis,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/nervous-system,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/reflex-actions,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/endocrine-system,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/blood-glucose-diabetes,biology,combined,foundation,3,1,True,True,False,False,False,0011000111
biology/homeostasis/human-reproduction-hormones,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
